area code,2022/1/2,2022/1/9,2022/1/16,2022/1/23,2022/1/30,2022/2/6,2022/2/13,2022/2/20,2022/2/27,2022/3/6,2022/3/13,2022/3/20,2022/3/27,2022/4/3,2022/4/10,2022/4/17,2022/4/24,2022/5/1
E02000276,149,124,92,125,97,73,32,47,32,35,40,55,46,39,23,21,11,9
E02000277,192,144,60,46,54,30,29,21,11,25,28,27,31,27,10,6,9,10
E02000278,177,164,75,55,59,61,38,18,12,17,33,36,40,55,19,26,9,6
E02000279,253,214,125,104,76,65,38,13,25,26,39,46,49,35,23,15,10,8
E02000280,164,141,67,108,70,50,30,43,23,37,66,69,70,44,32,14,9,11
E02000281,210,162,96,106,80,82,45,27,19,26,40,49,57,26,23,14,10,3
E02000282,160,128,73,56,57,38,21,18,23,13,27,37,47,24,10,4,5,7
E02000283,191,132,61,67,59,49,14,17,15,32,13,31,36,17,13,15,0,4
E02000284,186,145,60,80,70,63,38,35,15,35,44,72,76,48,22,18,13,8
E02000285,167,126,68,59,44,44,28,24,16,33,43,56,57,29,14,10,12,6
E02000286,166,124,79,74,72,74,38,29,23,31,55,46,63,60,29,20,15,14
E02000287,125,88,64,54,73,60,28,34,21,20,44,60,54,43,17,17,14,6
E02000288,250,176,83,58,70,42,34,21,24,19,26,26,35,20,12,12,13,5
E02000289,167,114,66,65,73,52,18,19,16,15,28,33,46,29,20,9,9,7
E02000290,160,99,51,45,51,27,13,11,8,6,13,14,27,11,11,6,6,4
E02000291,252,155,80,67,90,65,38,32,20,41,29,52,52,42,18,24,10,3
E02000292,169,133,73,86,82,58,31,35,26,36,54,43,53,33,32,12,10,10
E02000293,105,100,54,55,77,56,26,26,35,23,30,46,54,46,24,12,4,9
E02000294,196,153,107,72,51,33,34,14,11,14,19,29,39,26,14,9,9,4
E02000295,190,123,72,93,90,66,44,26,24,32,36,57,79,48,24,23,15,5
E02000296,259,185,79,113,104,95,45,32,32,30,57,55,58,31,36,27,14,4
E02000297,235,111,73,141,91,57,32,34,29,34,59,47,73,56,31,17,9,0
E02000298,126,133,75,67,76,74,34,41,33,35,58,72,82,52,25,11,6,10
E02000299,178,160,81,66,53,36,16,12,9,8,15,35,45,25,11,14,13,5
E02000300,139,138,63,48,47,34,31,28,8,14,18,32,25,32,7,7,0,0
E02000301,173,168,70,63,41,41,27,22,14,18,26,31,39,25,10,6,10,5
E02000302,204,127,77,60,83,51,48,31,18,42,44,46,67,49,13,20,5,0
E02000303,160,134,68,49,37,35,29,16,17,16,25,26,27,16,5,4,9,5
E02000304,152,119,48,72,73,63,49,38,20,32,48,41,59,45,27,16,8,13
E02000305,144,135,84,86,91,70,27,41,32,37,58,65,58,61,37,24,12,5
E02000306,150,124,72,50,48,26,32,18,9,8,25,19,23,11,11,9,10,4
E02000307,220,130,86,52,62,45,30,21,26,21,29,43,39,32,15,15,10,5
E02000308,195,172,70,73,61,51,35,39,28,27,39,51,60,56,37,12,11,8
E02000309,295,201,95,77,54,50,27,20,12,25,32,37,38,27,16,11,9,5
E02000311,193,145,65,69,75,45,45,30,25,30,41,47,52,38,15,12,9,3
E02000312,199,189,98,111,96,90,48,38,32,36,53,65,85,59,32,14,11,10
E02000313,139,108,45,39,36,32,16,17,11,15,12,18,19,28,7,8,8,5
E02000314,310,237,107,116,88,56,49,43,44,59,49,79,62,55,32,25,18,11
E02000315,213,119,81,58,55,33,25,11,20,13,24,39,74,34,26,23,9,17
E02000316,357,214,124,108,111,89,72,74,49,50,74,72,112,77,45,35,21,15
E02000317,163,111,70,60,57,39,22,21,14,24,30,38,28,24,19,20,0,8
E02000318,242,161,99,78,65,43,45,28,20,28,20,37,32,36,22,16,10,11
E02000319,252,125,94,75,71,53,36,21,21,32,38,55,45,39,29,8,7,4
E02000320,152,102,72,54,39,31,22,27,14,16,25,38,33,29,11,19,8,8
E02000321,144,102,58,51,56,28,18,14,17,19,30,33,36,20,26,18,19,7
E02000323,271,190,125,100,85,69,39,34,17,38,37,54,63,54,33,18,17,24
E02000324,151,101,80,68,80,60,35,31,22,24,33,34,48,34,15,11,5,7
E02000326,161,104,69,81,97,71,41,24,19,39,45,60,59,50,32,13,14,6
E02000327,166,100,55,66,64,45,33,14,14,23,23,32,43,21,27,16,11,8
E02000328,131,85,80,61,83,74,50,38,30,43,43,54,44,47,35,22,13,4
E02000329,140,85,48,57,83,40,30,16,15,21,30,46,35,30,18,12,5,0
